ObjectId,stopdate,stoptime,streetnbr,streetdir,street,Min_,sex,race,ethnic,Year_of_birth,enfaction,rpmainid
4988,2018/07/31 00:00:00,1220,4698,,BASELINE RD/MOHAWK DR,5,M,W,H,1988,N,7936
4989,2018/07/25 00:00:00,1127,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,N,1956,N,7800
4990,2018/07/28 00:00:00,1643,39000,,US HIGHWAY 36,10,F,W,N,1996,Y,7891
4991,2018/07/21 00:00:00,1155,,,CANYON BLVD/30TH ST,10,M,W,N,1993,Y,7687
4992,2018/08/04 00:00:00,125,,,28TH ST/HWY 36 EB ON RP @ BASELINE WB,5,M,W,N,1997,N,8044
4993,2018/07/31 00:00:00,1308,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,F,W,N,1956,N,7937
4994,2018/07/25 00:00:00,1106,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,N,1972,N,7801
4995,2018/07/28 00:00:00,1332,1198,,28TH ST/COLORADO AVE,10,M,W,N,1997,N,7892
4996,2018/07/21 00:00:00,1420,,,DIAGONAL HWY/INDEPENDENCE RD,10,F,W,N,1979,N,7688
4997,2018/08/04 00:00:00,140,1499,,BROADWAY/GRANDVIEW AVE,8,M,W,H,1997,N,8045
4998,2018/07/31 00:00:00,2050,3300,,ARNOLD DR/33RD ST,10,F,W,N,1942,Y,7938
4999,2018/07/25 00:00:00,1200,1499,,17TH ST/ARAPAHOE AVE,10,M,W,N,1994,N,7802
5000,2018/07/28 00:00:00,1259,1198,,28TH ST/COLORADO AVE,10,F,W,N,1949,Y,7893
5001,2018/07/18 00:00:00,1700,4998,,ARAPAHOE AVE/EISENHOWER DR,15,F,W,,1988,N,7689
5002,2018/08/03 00:00:00,2246,2600,,VALMONT RD/FOLSOM ST,25,M,W,N,1984,N,8046
5003,2018/07/06 00:00:00,2000,2200,,NORWOOD AVE,2,M,W,H,2002,Y,7939
5004,2018/07/25 00:00:00,1015,38000,,US HIGHWAY 36,10,M,W,N,1981,N,7803
5005,2018/07/28 00:00:00,1237,1198,,28TH ST/COLORADO AVE,10,M,W,H,1980,N,7894
5006,2018/07/14 00:00:00,100,2999,,BROADWAY/DELLWOOD AVE,10,M,W,N,1971,N,7690
5007,2018/08/03 00:00:00,2348,1575,,30TH ST,5,F,W,H,1993,Y,8047
5008,2018/06/21 00:00:00,1830,1000,,ROSEWOOD AVE,2,M,W,N,1970,N,7940
5009,2018/07/25 00:00:00,1617,1100,,FOOTHILLS PKWY,10,M,B,N,1984,Y,7804
5010,2018/07/28 00:00:00,1228,1199,,28TH FRONTAGE RD/COLORADO AVE,10,F,W,N,1982,N,7895
5011,2018/07/14 00:00:00,100,2999,,BROADWAY/DELLWOOD AVE,10,M,W,N,1987,N,7691
5012,2018/08/03 00:00:00,2348,1575,,30TH ST,5,M,W,H,1992,N,8048
5013,2018/06/21 00:00:00,1830,1000,,ROSEWOOD AVE,2,M,I,N,1980,N,7941
5014,2018/07/31 00:00:00,2335,5300,,VALMONT RD,20,M,W,H,2000,Y,7942
5015,2018/08/01 00:00:00,55,2100,,11TH ST,5,M,W,N,1992,Y,7943
5016,2018/08/01 00:00:00,4,1200,,CANYON BLVD,15,M,W,N,1981,N,7944
5017,2018/08/01 00:00:00,4,1200,,CANYON BLVD,15,F,W,N,1998,N,7945
5018,2018/08/01 00:00:00,109,2999,,30TH ST/VALMONT RD,20,F,W,N,1981,N,7946
5019,2018/07/24 00:00:00,1650,1480,,CANYON BLVD,15,M,W,N,1964,N,7947
5020,2018/07/24 00:00:00,1730,,,27TH WAY/BROADWAY,10,F,W,N,1993,Y,7948
5021,2018/07/25 00:00:00,1810,1800,,28TH ST,30,M,W,N,1973,N,7949
5022,2018/07/25 00:00:00,1810,1800,,28TH ST,30,M,W,N,1999,N,7950
5023,2018/07/27 00:00:00,1710,2400,,BASELINE RD,35,M,W,H,1978,N,7951
5024,2018/07/27 00:00:00,1610,1135,,13TH ST,15,M,W,N,1967,N,7952
5025,2018/07/27 00:00:00,1900,1800,,28TH ST,5,M,W,N,1973,N,7953
5026,2018/07/31 00:00:00,2305,3400,,N 26TH ST/FOLSOM ST,20,M,W,N,1980,N,7954
5027,2018/08/01 00:00:00,20,4400,,8TH ST/CHERRY AVE,7,F,W,N,1989,N,7955
5028,2018/08/01 00:00:00,227,3599,,BROADWAY/KALMIA AVE,8,F,W,N,1990,Y,7956
5029,2018/08/01 00:00:00,40,1505,,30TH ST,35,M,W,N,1990,N,7957
5030,2018/08/01 00:00:00,1158,,,DIAGONAL HWY/FOOTHILLS PKWY,25,M,W,H,1993,N,7958
5031,2018/08/01 00:00:00,1146,,,DIAGONAL HWY/FOOTHILLS PKWY,10,F,W,N,1984,N,7959
5032,2018/08/01 00:00:00,1134,,,DIAGONAL HWY/FOOTHILLS PKWY,10,M,W,N,1992,N,7960
5033,2018/07/31 00:00:00,1949,39000,,US HIGHWAY 36,10,M,W,N,1994,N,7961
5034,2018/07/31 00:00:00,1857,39000,,US HIGHWAY 36,10,M,A,N,1996,N,7962
5035,2018/07/31 00:00:00,1840,39000,,US HIGHWAY 36,10,F,W,N,1996,N,7963
5036,2018/07/31 00:00:00,1840,291,,ARAPAHOE AVE,10,M,W,N,1991,N,7964
5037,2018/08/01 00:00:00,1103,,,"US HWY 36, MM38",10,M,W,N,1986,Y,7965
5038,2018/08/01 00:00:00,1207,,,"US HWY 36, MM38",10,M,W,N,1999,N,7966
5039,2018/08/01 00:00:00,1245,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1994,Y,7967
5040,2018/08/01 00:00:00,1305,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1968,N,7968
5041,2018/08/01 00:00:00,1350,200 BLK,,FOOTHILLS PARKWAY,5,M,W,N,1997,N,7969
5042,2018/08/01 00:00:00,1418,200 BLK,,FOOTHILLS PARKWAY,5,F,W,N,1998,Y,7970
5043,2018/08/01 00:00:00,1255,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,1990,N,7971
5044,2018/08/01 00:00:00,1204,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,F,W,N,1996,Y,7972
